ID,Gender,Car,Property,Children,Income,Education,Family,HouseType,Birth,Workdays,WorkPhone,Phone,Email,Job,WorkMonths,Status,Risk
5062367,F,Y,Y,No children,202500.0,Secondary / secondary special,Married,House / apartment,10564,897,1,1,0,Core staff,13,No loan for the month,0
5096084,M,N,N,No children,234000.0,Secondary / secondary special,Married,House / apartment,16148,4541,1,0,0,Drivers,27,paid off that month,0
5100352,M,N,N,No children,180000.0,Secondary / secondary special,Married,House / apartment,19291,4967,1,1,0,Laborers,45,No loan for the month,0
5139917,F,N,N,2+ children,112500.0,Secondary / secondary special,Married,House / apartment,12189,309,0,0,0,Sales staff,3,paid off that month,0
5143164,F,N,N,2+ children,180000.0,Secondary / secondary special,Married,House / apartment,13791,1353,1,0,0,Accountants,15,paid off that month,0
5028735,M,N,Y,No children,360000.0,Secondary / secondary special,Married,House / apartment,12483,4039,0,0,0,Managers,13,paid off that month,0
5078997,F,N,Y,No children,129150.0,Secondary / secondary special,Single / not married,House / apartment,13742,2308,0,0,0,Drivers,7,1-29 days past due,0
5078813,M,N,Y,No children,450000.0,Higher education,Married,House / apartment,19080,1851,0,1,0,Managers,16,1-29 days past due,0
5126591,F,Y,N,No children,135000.0,Secondary / secondary special,Married,House / apartment,20493,7624,1,1,0,Managers,33,paid off that month,0
5113496,F,N,Y,1 children,135000.0,Incomplete higher,Married,House / apartment,9734,2049,1,1,1,Core staff,30,No loan for the month,0
5091725,F,Y,Y,No children,90000.0,Secondary / secondary special,Married,House / apartment,14116,2269,0,0,0,Medicine staff,38,1-29 days past due,0
5068380,F,N,Y,1 children,126000.0,Higher education,Married,House / apartment,12662,1359,1,1,1,Sales staff,17,1-29 days past due,0
5051026,M,Y,N,No children,540000.0,Higher education,Married,House / apartment,17249,1688,0,0,0,Laborers,4,No loan for the month,0
5096395,F,N,N,No children,112500.0,Secondary / secondary special,Civil marriage,Municipal apartment,14174,1405,1,0,0,Core staff,25,No loan for the month,0
5116007,F,N,Y,No children,90000.0,Secondary / secondary special,Married,House / apartment,17969,3573,0,0,0,Sales staff,36,paid off that month,0
5118566,F,N,Y,2+ children,147150.0,Secondary / secondary special,Married,House / apartment,13853,3261,0,0,0,Managers,15,1-29 days past due,0
5038537,F,N,Y,No children,135000.0,Secondary / secondary special,Married,House / apartment,20445,4187,0,0,0,Laborers,5,1-29 days past due,0
5050963,M,N,N,No children,157500.0,Secondary / secondary special,Married,House / apartment,21677,5400,0,0,0,Low-skill Laborers,31,paid off that month,0
5116565,F,N,Y,No children,135000.0,Higher education,Separated,House / apartment,16493,9255,0,0,0,Core staff,42,1-29 days past due,0
5052717,F,N,N,No children,180000.0,Secondary / secondary special,Single / not married,With parents,19047,2454,0,0,0,Laborers,11,paid off that month,0
5142392,F,N,Y,No children,90000.0,Secondary / secondary special,Married,House / apartment,19461,5124,0,0,0,Core staff,3,No loan for the month,0
5117167,F,N,N,1 children,135000.0,Secondary / secondary special,Separated,House / apartment,16150,5148,0,0,0,Medicine staff,11,paid off that month,0
5092278,F,N,Y,No children,360000.0,Secondary / secondary special,Married,House / apartment,15552,5587,1,1,0,Laborers,24,paid off that month,0
5053440,M,Y,Y,No children,112500.0,Secondary / secondary special,Single / not married,House / apartment,9312,2129,0,0,0,Accountants,19,1-29 days past due,0
5024271,M,Y,Y,2+ children,315000.0,Higher education,Married,House / apartment,16856,1373,0,0,0,Core staff,18,paid off that month,0
5009872,M,Y,N,2+ children,427500.0,Higher education,Married,House / apartment,15144,6400,1,0,0,Managers,14,paid off that month,0
5061418,F,N,Y,No children,270000.0,Lower secondary,Civil marriage,House / apartment,14609,1842,1,1,0,Sales staff,19,paid off that month,0
5048232,F,N,N,No children,90000.0,Secondary / secondary special,Separated,House / apartment,18764,9866,0,0,0,Laborers,29,paid off that month,0
5143532,F,N,Y,No children,270000.0,Higher education,Single / not married,House / apartment,16668,377,0,0,0,Sales staff,35,1-29 days past due,0
5041573,M,Y,Y,1 children,202500.0,Secondary / secondary special,Married,House / apartment,19060,398,1,1,0,Laborers,6,No loan for the month,0
5115784,F,N,Y,1 children,135000.0,Secondary / secondary special,Single / not married,House / apartment,14578,7346,0,0,0,Laborers,32,1-29 days past due,0
5009045,F,N,Y,No children,148500.0,Higher education,Married,House / apartment,17641,889,0,0,0,Core staff,17,1-29 days past due,0
5068805,M,Y,Y,1 children,112500.0,Higher education,Married,House / apartment,11809,536,0,0,1,Accountants,13,paid off that month,0
5117056,M,N,Y,1 children,202500.0,Secondary / secondary special,Married,House / apartment,9876,430,0,0,0,Private service staff,33,1-29 days past due,0
5099985,M,Y,N,No children,225000.0,Secondary / secondary special,Married,House / apartment,13502,2256,1,1,0,Drivers,0,No loan for the month,0
5023392,F,N,Y,No children,99000.0,Secondary / secondary special,Widow,House / apartment,21678,1239,0,0,0,Security staff,38,paid off that month,0
5097034,M,N,N,No children,270000.0,Higher education,Married,House / apartment,12993,249,1,1,0,Core staff,7,1-29 days past due,0
5033976,F,N,Y,No children,144000.0,Secondary / secondary special,Single / not married,House / apartment,11175,322,0,0,0,Cooking staff,20,1-29 days past due,0
5067812,M,N,Y,1 children,157500.0,Secondary / secondary special,Civil marriage,Municipal apartment,13273,1024,0,0,0,Drivers,48,1-29 days past due,0
5042084,F,Y,N,No children,315000.0,Higher education,Married,House / apartment,19495,1678,0,1,0,Accountants,8,paid off that month,0
5079015,M,Y,Y,2+ children,900000.0,Higher education,Married,House / apartment,9889,1000,0,0,0,Managers,23,1-29 days past due,0
5028532,F,N,Y,No children,171000.0,Secondary / secondary special,Married,House / apartment,15629,356,0,0,0,Sales staff,40,No loan for the month,0
5146266,M,Y,Y,1 children,135000.0,Secondary / secondary special,Married,House / apartment,10910,1436,1,0,0,Security staff,5,paid off that month,0
5078892,F,Y,Y,No children,148500.0,Secondary / secondary special,Married,Office apartment,17107,2277,0,0,0,Core staff,6,1-29 days past due,0
5045465,F,N,N,No children,270000.0,Higher education,Single / not married,Rented apartment,13762,1965,1,0,0,Medicine staff,47,1-29 days past due,0
5069051,M,Y,N,No children,225000.0,Secondary / secondary special,Married,House / apartment,17762,2484,0,0,0,Laborers,50,1-29 days past due,0
5028720,M,Y,Y,No children,225000.0,Higher education,Married,House / apartment,15000,1117,0,0,1,Managers,37,paid off that month,0
5149045,F,N,N,2+ children,135000.0,Secondary / secondary special,Married,House / apartment,15050,4977,0,0,0,Laborers,5,1-29 days past due,0
5088671,M,Y,Y,No children,225000.0,Higher education,Single / not married,House / apartment,9220,1473,0,0,0,Core staff,42,1-29 days past due,0
5068966,M,Y,Y,1 children,180000.0,Secondary / secondary special,Married,House / apartment,15212,1267,0,0,0,Drivers,32,1-29 days past due,0
5079041,F,Y,Y,2+ children,103500.0,Secondary / secondary special,Separated,House / apartment,13414,1700,1,0,0,Cooking staff,14,No loan for the month,0
5113266,M,Y,Y,1 children,450000.0,Higher education,Married,House / apartment,15098,1562,0,0,1,Managers,51,1-29 days past due,0
5112887,M,Y,N,No children,315000.0,Secondary / secondary special,Civil marriage,House / apartment,11615,2018,0,0,0,Laborers,19,1-29 days past due,0
5047761,F,N,N,No children,135000.0,Secondary / secondary special,Married,House / apartment,16008,157,0,0,0,Cooking staff,17,paid off that month,0
5090999,M,Y,Y,No children,405000.0,Higher education,Married,House / apartment,10323,2622,1,1,1,Managers,6,paid off that month,0
5132722,F,N,Y,No children,135000.0,Secondary / secondary special,Married,House / apartment,24449,3056,0,1,0,Medicine staff,37,1-29 days past due,0
5114059,F,N,N,No children,112500.0,Higher education,Separated,House / apartment,17168,2446,1,0,0,Sales staff,0,paid off that month,0
5125628,F,N,N,1 children,198000.0,Secondary / secondary special,Married,House / apartment,9919,1200,1,1,0,Cooking staff,2,No loan for the month,0
5148774,M,Y,Y,No children,144000.0,Secondary / secondary special,Married,House / apartment,10367,2389,0,1,0,Sales staff,44,1-29 days past due,0
5050611,F,Y,N,2+ children,157500.0,Secondary / secondary special,Married,House / apartment,13811,378,1,1,0,Sales staff,27,1-29 days past due,0
5118085,M,Y,N,1 children,135000.0,Higher education,Married,House / apartment,17843,3353,1,0,0,Laborers,10,paid off that month,0
5090678,F,N,N,2+ children,315000.0,Higher education,Married,House / apartment,12932,309,1,1,0,Managers,24,No loan for the month,0
5066966,M,Y,N,No children,119250.0,Secondary / secondary special,Civil marriage,House / apartment,17542,645,0,0,1,Drivers,28,paid off that month,0
5145835,F,N,Y,No children,67500.0,Secondary / secondary special,Married,House / apartment,19620,2196,0,0,0,Core staff,1,No loan for the month,0
5069264,F,Y,Y,1 children,67500.0,Secondary / secondary special,Married,House / apartment,12821,931,0,1,1,Laborers,16,paid off that month,0
5023502,F,N,N,1 children,63000.0,Secondary / secondary special,Single / not married,Municipal apartment,16817,4618,0,0,0,Cleaning staff,6,paid off that month,0
5091128,F,N,Y,1 children,112500.0,Secondary / secondary special,Single / not married,House / apartment,18715,2867,1,0,0,Secretaries,37,1-29 days past due,0
5090388,F,N,Y,No children,162000.0,Secondary / secondary special,Married,House / apartment,18875,2778,0,1,0,Waiters/barmen staff,11,No loan for the month,0
5065709,M,Y,Y,No children,112500.0,Secondary / secondary special,Married,House / apartment,10361,269,1,0,0,Drivers,23,paid off that month,0
5062105,M,Y,Y,No children,135000.0,Secondary / secondary special,Married,House / apartment,19008,3607,0,0,0,Managers,20,paid off that month,0
5061910,F,N,Y,No children,81000.0,Secondary / secondary special,Married,House / apartment,16940,563,0,0,0,Laborers,16,1-29 days past due,0
5115747,F,N,Y,No children,180000.0,Higher education,Married,House / apartment,21601,12490,1,0,0,High skill tech staff,13,paid off that month,0
5143156,F,Y,N,No children,652500.0,Higher education,Single / not married,House / apartment,19137,349,1,1,1,Managers,5,No loan for the month,0
5117030,F,N,Y,No children,270000.0,Secondary / secondary special,Civil marriage,House / apartment,13346,3839,1,1,0,Drivers,50,paid off that month,0
5067103,F,N,N,No children,180000.0,Secondary / secondary special,Single / not married,Municipal apartment,16761,4534,0,0,0,Sales staff,6,1-29 days past due,0
5050767,F,N,N,2+ children,337500.0,Secondary / secondary special,Married,House / apartment,10990,2174,0,0,0,Core staff,7,1-29 days past due,0
5053742,F,N,Y,No children,360000.0,Higher education,Married,House / apartment,16182,3163,0,1,0,Managers,25,paid off that month,0
5116798,F,N,Y,1 children,180000.0,Higher education,Married,House / apartment,11117,3227,0,0,0,Accountants,3,No loan for the month,0
5026189,M,Y,Y,No children,270000.0,Secondary / secondary special,Married,House / apartment,17968,895,1,0,0,Laborers,41,1-29 days past due,0
5095366,F,N,N,2+ children,180000.0,Secondary / secondary special,Married,House / apartment,11950,4022,0,1,0,Medicine staff,3,paid off that month,0
5053825,M,Y,Y,No children,180000.0,Incomplete higher,Single / not married,House / apartment,10789,1702,0,0,0,Laborers,17,paid off that month,0
5050724,F,Y,N,No children,360000.0,Higher education,Married,House / apartment,12845,2296,1,1,0,Accountants,6,paid off that month,0
5142420,M,N,Y,1 children,270000.0,Incomplete higher,Married,House / apartment,12443,1169,0,1,0,Drivers,10,No loan for the month,0
5090894,F,Y,Y,2+ children,90000.0,Higher education,Married,House / apartment,13156,4234,0,0,0,Accountants,4,1-29 days past due,0
5025067,M,Y,Y,1 children,180000.0,Secondary / secondary special,Married,House / apartment,11511,3806,0,0,0,Core staff,12,paid off that month,0
5009537,F,Y,N,No children,202500.0,Secondary / secondary special,Married,House / apartment,15527,1744,1,1,0,Sales staff,9,paid off that month,0
5099809,M,Y,Y,1 children,337500.0,Higher education,Married,House / apartment,11489,3109,0,0,0,Managers,2,paid off that month,0
5142718,F,N,N,No children,202500.0,Secondary / secondary special,Single / not married,House / apartment,20669,13102,1,0,0,Medicine staff,14,paid off that month,0
5079014,M,Y,Y,2+ children,900000.0,Higher education,Married,House / apartment,9889,1000,0,0,0,Managers,18,No loan for the month,0
5143020,M,N,N,No children,270000.0,Secondary / secondary special,Married,With parents,11768,622,1,1,0,Laborers,23,1-29 days past due,0
5136963,F,N,N,No children,153000.0,Secondary / secondary special,Married,House / apartment,15485,900,1,0,0,Sales staff,26,1-29 days past due,0
5125130,F,N,Y,No children,315000.0,Secondary / secondary special,Married,House / apartment,17279,195,1,1,0,Accountants,5,1-29 days past due,0
5125519,M,N,Y,1 children,202500.0,Secondary / secondary special,Married,House / apartment,14952,104,0,1,0,Security staff,37,1-29 days past due,0
5116667,F,N,Y,No children,157500.0,Secondary / secondary special,Civil marriage,House / apartment,16628,3654,0,0,0,Laborers,13,paid off that month,0
5146601,F,N,Y,No children,180000.0,Secondary / secondary special,Married,House / apartment,14891,1254,0,0,0,Laborers,30,paid off that month,0
5118575,M,Y,Y,No children,247500.0,Secondary / secondary special,Single / not married,With parents,11490,826,1,0,0,Drivers,4,No loan for the month,0
5132922,M,N,Y,No children,157500.0,Secondary / secondary special,Married,House / apartment,11053,1626,0,0,0,Laborers,7,1-29 days past due,0
5091596,F,N,N,No children,45000.0,Secondary / secondary special,Married,House / apartment,17808,2849,1,0,0,Sales staff,32,No loan for the month,0
5058469,M,N,Y,1 children,157500.0,Secondary / secondary special,Married,House / apartment,10209,873,0,0,0,Security staff,22,paid off that month,0
5021213,M,Y,Y,1 children,225000.0,Higher education,Married,House / apartment,12763,2255,0,1,0,Core staff,5,1-29 days past due,0
5089780,M,Y,Y,No children,247500.0,Secondary / secondary special,Married,House / apartment,14567,7369,1,0,0,Laborers,6,1-29 days past due,0
5023345,M,Y,Y,No children,900000.0,Secondary / secondary special,Married,House / apartment,18337,1847,0,0,0,Managers,58,1-29 days past due,0
5036785,M,N,Y,No children,112500.0,Secondary / secondary special,Married,House / apartment,15754,219,0,1,0,HR staff,31,paid off that month,0
5088699,F,Y,Y,No children,252000.0,Secondary / secondary special,Married,House / apartment,17562,1261,0,0,0,Medicine staff,17,paid off that month,0
5053367,F,N,Y,No children,238500.0,Higher education,Married,House / apartment,20517,2971,1,1,0,Sales staff,20,No loan for the month,0
5068240,F,N,Y,No children,247500.0,Secondary / secondary special,Married,House / apartment,11268,2545,1,1,0,Laborers,27,1-29 days past due,0
5106037,M,Y,N,2+ children,270000.0,Secondary / secondary special,Married,House / apartment,15207,3201,0,0,0,Core staff,38,paid off that month,0
5114217,M,Y,N,2+ children,225000.0,Secondary / secondary special,Married,House / apartment,14136,2628,1,0,0,Managers,20,No loan for the month,0
5117561,F,N,N,No children,135000.0,Secondary / secondary special,Married,House / apartment,15493,645,1,0,0,Laborers,13,No loan for the month,0
5150038,M,N,N,No children,180000.0,Secondary / secondary special,Single / not married,With parents,12784,1537,0,0,0,Drivers,8,paid off that month,0
5118467,M,Y,N,2+ children,270000.0,Secondary / secondary special,Married,House / apartment,18147,1101,1,0,0,Managers,40,No loan for the month,0
5061697,M,N,Y,No children,157500.0,Incomplete higher,Separated,House / apartment,13463,1993,0,0,0,Security staff,39,paid off that month,0
5118630,F,N,N,1 children,67500.0,Secondary / secondary special,Married,House / apartment,14619,918,0,0,0,Core staff,1,1-29 days past due,0
5096828,F,N,Y,No children,315000.0,Higher education,Separated,House / apartment,17752,2380,1,1,0,Accountants,9,paid off that month,0
5024148,F,Y,N,No children,180000.0,Higher education,Married,With parents,11380,1007,1,1,0,Accountants,5,No loan for the month,0
5048589,F,N,Y,No children,247500.0,Secondary / secondary special,Separated,House / apartment,19348,3322,1,1,0,Laborers,7,paid off that month,0
5087972,M,N,Y,No children,99000.0,Higher education,Married,Co-op apartment,10033,558,0,0,0,Managers,21,1-29 days past due,0
5009950,F,Y,Y,2+ children,90000.0,Secondary / secondary special,Married,House / apartment,12690,4451,0,0,0,Cooking staff,27,No loan for the month,0
5069265,F,Y,Y,1 children,67500.0,Secondary / secondary special,Married,House / apartment,12821,931,0,1,1,Laborers,36,1-29 days past due,0
5024981,M,N,N,No children,270000.0,Secondary / secondary special,Married,House / apartment,14255,762,1,1,1,Drivers,16,paid off that month,0
5056164,F,N,Y,No children,216000.0,Secondary / secondary special,Married,House / apartment,18067,6517,1,1,1,High skill tech staff,24,paid off that month,0
5115860,F,Y,Y,1 children,315000.0,Secondary / secondary special,Married,House / apartment,15506,6099,0,0,0,Laborers,24,paid off that month,0
5062347,M,Y,Y,No children,225000.0,Secondary / secondary special,Married,House / apartment,21098,5554,1,1,0,Drivers,14,1-29 days past due,0
5048028,M,Y,Y,2+ children,180000.0,Secondary / secondary special,Civil marriage,House / apartment,13059,4813,0,0,0,Laborers,48,No loan for the month,0
5041129,F,N,Y,No children,225000.0,Higher education,Single / not married,House / apartment,17031,642,0,0,0,Core staff,2,No loan for the month,0
5042243,M,N,Y,No children,90000.0,Secondary / secondary special,Civil marriage,House / apartment,15140,1525,1,1,0,Low-skill Laborers,33,1-29 days past due,0
5066622,F,N,Y,No children,139500.0,Secondary / secondary special,Married,House / apartment,18730,157,0,0,1,Cooking staff,6,1-29 days past due,0
5023585,M,N,N,No children,202500.0,Secondary / secondary special,Separated,House / apartment,14364,6352,0,0,0,Laborers,17,1-29 days past due,0
5010923,F,N,N,No children,94500.0,Secondary / secondary special,Widow,Rented apartment,22265,829,0,0,1,Sales staff,28,paid off that month,0
5009418,F,N,N,No children,90000.0,Secondary / secondary special,Single / not married,House / apartment,19304,464,1,1,0,Core staff,4,1-29 days past due,0
5041938,M,N,N,No children,121500.0,Secondary / secondary special,Married,House / apartment,10312,703,0,1,0,Laborers,6,No loan for the month,0
5117593,F,N,N,No children,144000.0,Secondary / secondary special,Single / not married,House / apartment,16898,7310,1,1,0,Core staff,16,paid off that month,0
5105237,F,N,Y,No children,90000.0,Secondary / secondary special,Married,House / apartment,11931,271,1,1,0,Sales staff,37,1-29 days past due,0
5113035,F,N,Y,No children,112500.0,Higher education,Married,House / apartment,20344,10452,0,1,0,Core staff,9,1-29 days past due,0
5067248,F,Y,Y,No children,391500.0,Secondary / secondary special,Married,House / apartment,16995,7264,0,0,0,Core staff,35,1-29 days past due,0
5052824,F,Y,Y,1 children,90000.0,Secondary / secondary special,Married,House / apartment,14420,3550,0,0,0,Managers,2,paid off that month,0
5114201,M,Y,N,2+ children,225000.0,Secondary / secondary special,Married,House / apartment,14136,2628,1,0,0,Managers,38,paid off that month,0
5041603,M,Y,Y,No children,270000.0,Secondary / secondary special,Married,House / apartment,12257,1463,0,0,0,Laborers,24,paid off that month,0
5149393,F,N,N,1 children,135000.0,Secondary / secondary special,Married,With parents,13689,1172,0,0,0,Sales staff,8,paid off that month,0
5114131,F,N,N,No children,135000.0,Secondary / secondary special,Married,House / apartment,20875,3785,0,0,0,High skill tech staff,13,paid off that month,0
5069107,M,N,Y,No children,450000.0,Secondary / secondary special,Married,House / apartment,17380,6594,0,0,0,Core staff,13,1-29 days past due,0
5052755,M,N,Y,No children,225000.0,Secondary / secondary special,Civil marriage,House / apartment,10570,1175,0,0,0,Managers,3,paid off that month,0
5066811,F,Y,N,1 children,360000.0,Higher education,Widow,House / apartment,16480,4023,0,0,1,Managers,32,paid off that month,0
5115613,M,N,N,1 children,180000.0,Secondary / secondary special,Married,House / apartment,13866,6281,0,0,0,Managers,42,1-29 days past due,0
5045456,M,Y,N,2+ children,180000.0,Secondary / secondary special,Married,House / apartment,14452,4249,0,0,0,Drivers,26,No loan for the month,0
5087550,M,Y,Y,No children,126000.0,Secondary / secondary special,Married,House / apartment,14811,2628,0,0,0,Laborers,8,1-29 days past due,0
5066496,F,N,N,1 children,112500.0,Higher education,Civil marriage,With parents,12076,5362,0,1,1,Laborers,26,paid off that month,0
5146531,F,Y,N,1 children,67500.0,Secondary / secondary special,Married,House / apartment,15151,1162,0,0,0,Core staff,33,paid off that month,0
5053687,M,Y,Y,1 children,225000.0,Secondary / secondary special,Married,House / apartment,16175,2371,0,0,0,Drivers,2,paid off that month,0
5022700,M,Y,Y,No children,315000.0,Secondary / secondary special,Single / not married,House / apartment,14064,5326,0,0,0,Drivers,35,1-29 days past due,0
5135382,F,N,Y,No children,387000.0,Secondary / secondary special,Married,House / apartment,20082,4979,0,0,0,Sales staff,21,paid off that month,0
5069493,F,Y,Y,No children,157500.0,Secondary / secondary special,Married,House / apartment,14330,1936,0,0,0,Sales staff,2,paid off that month,0
5062436,M,Y,Y,1 children,180000.0,Secondary / secondary special,Single / not married,House / apartment,11533,746,0,0,0,Drivers,24,1-29 days past due,0
5100462,F,N,Y,No children,157500.0,Secondary / secondary special,Married,House / apartment,18371,1495,0,0,0,Waiters/barmen staff,2,1-29 days past due,0
5125543,M,Y,N,No children,427500.0,Higher education,Married,House / apartment,16691,1565,1,0,0,Managers,36,1-29 days past due,0
5118470,M,Y,N,2+ children,270000.0,Secondary / secondary special,Married,House / apartment,18147,1101,1,0,0,Managers,2,paid off that month,0
5087553,M,Y,Y,No children,126000.0,Secondary / secondary special,Married,House / apartment,14811,2628,0,0,0,Laborers,11,1-29 days past due,0
5091635,M,Y,Y,2+ children,157500.0,Secondary / secondary special,Married,House / apartment,12441,4369,1,1,0,Laborers,40,30-59 days past due,0
5116623,F,Y,Y,1 children,157500.0,Secondary / secondary special,Married,House / apartment,13811,3380,0,0,0,Laborers,11,No loan for the month,0
5010820,F,Y,Y,No children,270000.0,Secondary / secondary special,Married,House / apartment,13095,1652,0,0,0,High skill tech staff,22,paid off that month,0
5125137,F,N,Y,No children,220500.0,Secondary / secondary special,Separated,House / apartment,17196,560,1,0,0,Core staff,5,1-29 days past due,0
5009938,F,N,Y,2+ children,157500.0,Secondary / secondary special,Married,House / apartment,10710,2351,0,0,0,Sales staff,31,1-29 days past due,0
5117121,M,Y,Y,No children,225000.0,Incomplete higher,Married,House / apartment,16462,704,0,1,0,Drivers,49,1-29 days past due,0
5038541,F,N,Y,No children,135000.0,Secondary / secondary special,Married,House / apartment,20445,4187,0,0,0,Laborers,29,paid off that month,0
5062240,F,Y,N,No children,315000.0,Secondary / secondary special,Married,House / apartment,19441,4064,0,0,0,Managers,12,No loan for the month,0
5092013,F,N,N,No children,112500.0,Higher education,Married,With parents,19721,1539,0,0,0,Accountants,23,1-29 days past due,0
5104850,F,Y,Y,2+ children,103500.0,Secondary / secondary special,Married,House / apartment,11816,1600,0,0,0,Accountants,45,1-29 days past due,0
5065356,M,N,Y,No children,157500.0,Secondary / secondary special,Married,House / apartment,21199,5069,0,0,1,Managers,8,paid off that month,0
5066923,M,Y,Y,No children,180000.0,Higher education,Married,With parents,11089,1467,0,0,0,Laborers,19,1-29 days past due,0
5126080,F,N,Y,1 children,112500.0,Secondary / secondary special,Married,House / apartment,14887,2599,0,0,0,Managers,18,1-29 days past due,0
5036492,M,Y,N,1 children,157500.0,Secondary / secondary special,Married,House / apartment,12266,3372,0,0,0,Drivers,35,1-29 days past due,0
5042080,F,Y,N,No children,315000.0,Higher education,Married,House / apartment,19495,1678,0,1,0,Accountants,43,No loan for the month,0
5058436,F,Y,Y,No children,135000.0,Higher education,Married,House / apartment,20921,113,0,0,0,Sales staff,3,No loan for the month,0
5054150,F,N,N,No children,135000.0,Higher education,Married,House / apartment,13202,2646,1,0,0,Laborers,15,paid off that month,0
5118508,F,Y,N,2+ children,315000.0,Higher education,Married,House / apartment,13793,2653,1,1,0,Managers,11,No loan for the month,0
5066927,M,N,Y,No children,391500.0,Secondary / secondary special,Separated,House / apartment,17522,1526,0,0,0,Security staff,18,paid off that month,0
5008943,F,N,N,No children,157500.0,Higher education,Married,House / apartment,13642,4846,0,1,0,High skill tech staff,8,No loan for the month,0
5116573,F,N,N,No children,157500.0,Secondary / secondary special,Married,House / apartment,11140,3807,1,0,0,Laborers,17,1-29 days past due,0
5137315,F,N,N,1 children,135000.0,Higher education,Married,House / apartment,9454,1022,1,0,0,Managers,19,1-29 days past due,0
5137477,F,N,N,1 children,157500.0,Higher education,Married,House / apartment,13549,2877,0,1,0,Accountants,17,paid off that month,0
5023779,M,Y,N,No children,270000.0,Higher education,Married,House / apartment,13128,1392,0,0,0,Laborers,6,paid off that month,0
5028901,M,Y,Y,No children,270000.0,Lower secondary,Separated,House / apartment,19164,3825,1,0,0,Laborers,30,paid off that month,0
